indi_pt,count
Venogram,62
Back ache,62
Alport's syndrome,62
Thyroid adenoma,62
Hypothermia,62
Monoclonal antibody unconjugated therapy,62
Suppressed lactation,62
Intensive care,62
Ovarian vein thrombosis,62
Renal stone removal,62
Meibomianitis,62
Chronic coronary syndrome,62
Hippocampal sclerosis,62
Haemoglobin increased,62
Atrioventricular block first degree,62
Haematocrit decreased,62
Device malfunction,62
Sluggishness,62
Knee deformity,62
Cytomegalovirus enteritis,62
Change of bowel habit,62
Sinobronchitis,62
Unresponsive to stimuli,62
Menstruation delayed,62
Red blood cell sedimentation rate increased,62
Exfoliative rash,62
Pleuroparenchymal fibroelastosis,62
Phimosis,62
Axillary vein thrombosis,62
Anastomotic ulcer,61
Obstruction gastric,61
Chondroblastoma,61
Monoplegia,61
Foetal exposure during delivery,61
Pericarditis lupus,61
Subdural haemorrhage,61
Coombs positive haemolytic anaemia,61
Albuminuria,61
Discharge,61
Heterotaxia,61
Peritoneal disorder,61
Blood parathyroid hormone,61
Reynold's syndrome,61
Breast conserving surgery,61
Lacunar stroke,61
Steroid withdrawal syndrome,61
Acute pulmonary histoplasmosis,61
Non-alcoholic fatty liver,61
Panophthalmitis,61
Paraesthesia oral,61
Metabolic dysfunction-associated liver disease,61
Cystitis klebsiella,61
Hunger,61
Anemia,61
Candida osteomyelitis,61
Electrocution,61
Defaecation urgency,61
Serum sickness,61
Reversal of opiate activity,61
Solvent sensitivity,61
Urticaria papular,61
Hypoperfusion,61
CHEMOTHERAPY,61
Human T-cell lymphotropic virus infection,61
Cervical myelopathy,61
Brachial plexopathy,61
Keratoacanthoma,60
Lip ulceration,60
Acute haemorrhagic oedema of infancy,60
Biopsy skin,60
Jaw fracture,60
Renal tubular disorder,60
"Acute encephalitis with refractory, repetitive partial seizures",60
Gastrointestinal hypermotility,60
Palisaded neutrophilic granulomatous dermatitis,60
Peripheral vein thrombosis,60
Macule,60
Cortisol abnormal,60
Akinesia,60
Hepatic echinococciasis,60
MRI,60
Renal infarct,60
Autoimmune myocarditis,60
Atopic keratoconjunctivitis,60
T-cell depletion,60
International normalised ratio decreased,60
Urinary bladder haemorrhage,60
Brachial plexus injury,60
Pyelonephritis chronic,60
Arteriogram,60
Neuropathic pain,60
Mean arterial pressure decreased,60
Candida pneumonia,60
Diverticular perforation,60
Planning to become pregnant,60
Vitamin B12 abnormal,60
Blood pressure systolic decreased,60
Tongue oedema,60
Urine output increased,60
Post procedural swelling,60
HYPERLIPIDEMIA,60
Mucosal haemorrhage,60
Ultrasound liver,60
Infectious disease carrier,60
Tonsillar hypertrophy,60
Optic atrophy,60
Gastric hypomotility,60
Bicytopenia,59
Dysstasia,59
HIV antibody,59
Animal scratch,59
Bacterial colitis,59
Renal tuberculosis,59
Burn infection,59
Mucocutaneous leishmaniasis,59
Notalgia paraesthetica,59
Red blood cell count increased,59
Eye ulcer,59
Corneal infection,59
Diabetic dyslipidaemia,59
Faecal incontinence,59
Metachromatic leukodystrophy,59
Peripheral nerve transposition,59
Naegleria infection,59
Brain stem stroke,59
Retinal pigment epitheliopathy,59
Sexually active,59
Nail dystrophy,59
Septic pulmonary embolism,59
Superior sagittal sinus thrombosis,59
Sensory integrative dysfunction,59
Colorectal adenoma,59
Thyroid cyst,59
Erythema elevatum diutinum,59
Thyrotoxic periodic paralysis,59
Vascular skin disorder,59
Spondylolysis,59
Sodium retention,59
Diplegia,59
Pneumonia adenoviral,59
Diffuse idiopathic skeletal hyperostosis,59
Foreign body reaction,59
HLA-B*27 positive,59
Chemical burn,59
Body height abnormal,59
Alkalosis,59
Vascular pain,59
Homicide,59
Hypertension neonatal,59
Bladder outlet obstruction,59
Blood viscosity decreased,58
Gastrinoma malignant,58
Organic erectile dysfunction,58
Tongue ulceration,58
Acute zonal occult outer retinopathy,58
Scar pain,58
Chondrodystrophy,58
Feeding intolerance,58
Metapneumovirus infection,58
Cardiorenal syndrome,58
Viral uveitis,58
Tarsal tunnel syndrome,58
Nephrostomy,58
Diarrhea,58
Diaphragmatic spasm,58
Immune recovery uveitis,58
Haemophilia B with anti factor IX,58
Myocardial fibrosis,58
Bite,58
Spinal decompression,58
Platelet dysfunction,58
Postoperative thrombosis,58
Infestation,58
International normalised ratio fluctuation,58
Postoperative hypopituitarism,58
Endocrine hypertension,58
Vasculitis cerebral,58
Bronchostenosis,58
Epstein-Barr virus antibody positive,58
Medical device complication,58
Ascariasis,58
Intracranial hypotension,58
Oropharyngeal plaque,58
Diphtheria,58
Poliomyelitis,58
Degenerative bone disease,58
GAIT DISTURBANCE,58
Vascular parkinsonism,57
Progestin replacement therapy,57
Oesophagogastroscopy,57
Glucagonoma,57
Metabolic encephalopathy,57
Genital rash,57
Device related bacteraemia,57
Drug ineffective for unapproved indication,57
Pneumonia haemophilus,57
Neisseria infection,57
Transplant evaluation,57
Urticaria thermal,57
Steatohepatitis,57
Acid fast bacilli infection,57
Polyserositis,57
Anti-SRP antibody positive,57
Vulvovaginitis trichomonal,57
Dacryoadenitis acquired,57
Spinal cord injury cervical,57
Myocardial injury,57
Enteropathic spondylitis,57
Cholecystitis chronic,57
Immature respiratory system,57
Shigella infection,57
Cholesterol,57
Disseminated trichosporonosis,57
Microcephaly,57
Uraemic pruritus,57
Ear infection fungal,57
Hostility,57
Hemimegalencephaly,57
Topical steroid withdrawal reaction,57
Body mass index decreased,57
Mucosal dryness,57
Third stage postpartum haemorrhage,57
Hair texture abnormal,57
Myosclerosis,57
Muscle discomfort,57
Mental disorder due to a general medical condition,57
Vascular stent stenosis,56
Musculoskeletal injury,56
Bronchitis viral,56
Penile infection,56
Uterine hypertonus,56
Prolapse,56
Terminal insomnia,56
Fear of injection,56
Cerebral haematoma,56
Pantoea agglomerans infection,56
Blood beta-D-glucan increased,56
Blood immunoglobulin G,56
Basilar artery occlusion,56
Regional chemotherapy,56
Hypotensive anaesthesia procedure,56
Pulmonary tuberculoma,56
Eyelid myoclonus,56
Mediastinal abscess,56
Soft tissue haemorrhage,56
Leukapheresis,56
Cholesterosis,56
Cerebral artery thrombosis,56
Measles,56
Retinal vein thrombosis,56
TP53 gene mutation,56
Renal vein compression,56
Cystitis bacterial,56
Cardiometabolic syndrome,56
Disinhibition,56
Therapeutic hypothermia,56
Pancreas infection,56
Chronic tonsillitis,56
Chillblains,56
Bladder irrigation,56
Pain NOS,56
Herpes simplex oesophagitis,56
Blood sodium abnormal,56
Abdominal hernia obstructive,56
Hypertensive encephalopathy,56
Herpes zoster infection neurological,56
Lymphocytic infiltration,56
Corneal graft rejection,56
Reactive psychosis,56
Catheter removal,56
Foetal alcohol syndrome,55
Prevention,55
Adrenal gland tuberculosis,55
Mycobacterium test positive,55
Vitamin B1 decreased,55
Genital infection female,55
Muscle fatigue,55
Hepatitis C RNA,55
Infection susceptibility increased,55
Tinea barbae,55
Temperature regulation disorder,55
Subperiosteal abscess,55
Tick-borne viral encephalitis,55
Coagulation factor VIII level,55
Vitreous degeneration,55
OSTEOPENIA,55
Mycosis fungoides stage I,55
Deficiency of the interleukin-1 receptor antagonist,55
Thrombophlebitis migrans,55
N-ras gene mutation,55
Endoscopy gastrointestinal,55
Fistula of small intestine,55
Weil's disease,55
Blood parathyroid hormone decreased,55
Gynaecological disorder prophylaxis,55
Corneal opacity,55
Hysteroscopy,55
Oesophageal abscess,55
Lipase increased,55
ANTICOAGULANT THERAPY,55
Myotonic dystrophy,55
Congo-Crimean haemorrhagic fever,55
Cardiac output decreased,55
Nasal oedema,55
Eye infection syphilitic,55
Lip oedema,55
Hepatosplenic candidiasis,55
Emotional disorder of childhood,55
Pulmonary function test abnormal,55
Insomnia related to another mental condition,55
Eosinophilic cystitis,55
Substance-induced mood disorder,55
Cryptococcal fungaemia,55
Polyneuropathy alcoholic,55
Separation anxiety disorder,55
Myocarditis infectious,55
Ecchymosis,54
ACCIDENTAL EXPOSURE TO PRODUCT,54
Myoclonic dystonia,54
Anaphylactoid reaction,54
Colon adenoma,54
Long-chain acyl-coenzyme A dehydrogenase deficiency,54
Graft versus host disease oral,54
Mouth swelling,54
Inappropriate affect,54
Retinoschisis,54
Sleep paralysis,54
Coombs negative haemolytic anaemia,54
Stent patency maintenance,54
Oesophageal haemorrhage,54
Erythema dyschromicum perstans,54
Male sexual dysfunction,54
Laboratory test,54
Factor V Leiden carrier,54
Anaesthetic complication,54
Traumatic pain,54
Haemothorax,54
Delusion of grandeur,54
Gastroduodenitis,54
Logorrhoea,54
Overactive bladder,54
Benign recurrent intrahepatic cholestasis,54
Murine typhus,54
Campylobacter colitis,54
Venolymphatic malformation,54
Obsessive rumination,53
Double outlet right ventricle,53
Scrotal pain,53
Skin tightness,53
Orthopnoea,53
Putamen haemorrhage,53
Intestine transplant rejection,53
Sexual abuse,53
Vulvovaginal inflammation,53
Keratoplasty,53
Keratomileusis,53
Leukocyturia,53
Seroma,53
Abortion missed,53
Haemorrhage subcutaneous,53
Faeces discoloured,53
Deformity,53
Aortic surgery,53
Congenital central nervous system anomaly,53
Melkersson-Rosenthal syndrome,53
Prostatic pain,53
HYPERTENSION ARTERIAL,53
Toxic encephalopathy,53
Bone marrow reticulin fibrosis,53
Ingrown hair,53
Ophthalmologic treatment,53
Creutzfeldt-Jakob disease,53
Obstructive pancreatitis,53
Blood cholesterol normal,53
Terminal ileitis,53
Postpericardiotomy syndrome,53
Purulence,53
Bacterial test,53
Polyneuropathy in malignant disease,53
Ocular surface disease,53
Hypocoagulable state,53
Eyelid margin crusting,53
Corneal degeneration,53
Aortic stent insertion,53
Digestive enzyme abnormal,53
Meningitis candida,52
Prothrombin time ratio decreased,52
Fibrinolysis,52
Glucose tolerance test,52
Histology abnormal,52
Bedridden,52
Nonalcoholic fatty liver disease,52
Cataract operation complication,52
Bladder dilatation,52
Protein total abnormal,52
Device issue,52
Corneal epithelium defect,52
Ataxia telangiectasia,52
Meningococcal sepsis,52
Prosthesis implantation,52
Cystathionine beta-synthase deficiency,52
Cardiopulmonary failure,52
Shortened cervix,52
Paresis,52
Histamine abnormal,52
Allergy to metals,52
Acquired C1 inhibitor deficiency,52
Bickerstaff's encephalitis,52
Coagulation factor,52
Diabetic autonomic neuropathy,52
Alpha-mannosidosis,52
Superficial injury of eye,52
Gastrointestinal perforation,52
Ligament pain,52
Mutism,52
Carcinoid crisis,52
Joint contracture,52
Primary hypoparathyroidism,52
Subacute endocarditis,52
Pineal germinoma,52
Distal intestinal obstruction syndrome,52
Lung lobectomy,52
Rickettsiosis,52
Neutrophil count increased,51
STAPHYLOCOCCAL INFECTION,51
Middle cerebral artery stroke,51
Granulocyte count decreased,51
Ulcerated haemangioma,51
Lichen planus pemphigoides,51
Asphyxia,51
Anti-glomerular basement membrane antibody positive,51
Gingivitis ulcerative,51
Alcohol problem,51
Hepatic necrosis,51
Anal haemorrhage,51
Intra-abdominal fluid collection,51
Conjunctival disorder,51
SEDATION,51
Drug withdrawal convulsions,51
Haemangioma congenital,51
Lymphangiogram,51
Vitamin C,51
Univentricular heart,51
Maternal use of illicit drugs,51
Cardiac infection,51
Hepatitis A immunisation,51
Blood immunoglobulin M increased,51
Vitamin K,51
Lobar pneumonia,51
Vertebral artery dissection,51
Portal vein embolisation,51
Alternating hemiplegia of childhood,51
Infective myositis,51
Alcoholic psychosis,51
Mycosis fungoides stage III,51
Encopresis,51
Haemorrhagic anaemia,51
FIBROMYALGIA,51
HER2 protein overexpression,51
Misophonia,51
Child-Pugh-Turcotte score increased,51
Alveolar osteitis,51
Mucopolysaccharidosis VII,51
Therapeutic response shortened,51
Cardiovascular symptom,51
Autonomic dysreflexia,51
Gingival abscess,50
Death of relative,50
Prothrombin time prolonged,50
Sensitisation,50
Gastric pH,50
Lipoma,50
Pneumonia respiratory syncytial viral,50
Neonatal respiratory distress syndrome prophylaxis,50
Toxocariasis,50
NAUSEA,50
Dislocation of vertebra,50
Immunosuppressant drug level increased,50
Vaginal odour,50
Spinal ligament ossification,50
Hypoglycaemia neonatal,50
Gastrointestinal necrosis,50
Obstructive shock,50
Weight loss poor,50
Upper motor neurone lesion,50
Cutibacterium acnes infection,50
Blood glucose normal,50
Chagas' cardiomyopathy,50
Sleep-related eating disorder,50
Cotard's syndrome,50
Peritoneal abscess,50
Gene therapy,50
Uterine dilation and curettage,50
Enzyme level decreased,50
Cutaneous amyloidosis,50
Hypopyon,50
Stereotypy,50
Alcohol rehabilitation,50
Tuberculosis liver,50
Eosinophil count,50
OSTEOMYELITIS,50
Immune-mediated neurological disorder,50
Microvillous inclusion disease,50
Investigation abnormal,50
Disorder of orbit,50
Papilloma,50
Immunoglobulins,50
Antipsychotic drug level therapeutic,50
Arterial therapeutic procedure,49
Nephrocalcinosis,49
Tuberculosis bladder,49
Musculoskeletal disorder prophylaxis,49
Nail discolouration,49
Autosomal chromosome anomaly,49
Otosclerosis,49
Abdominal hernia repair,49
Anamnestic reaction,49
Mitochondrial DNA mutation,49
Cortisol deficiency,49
Astroblastoma,49
WEGENER'S GRANULOMATOSIS,49
Parkinsonian gait,49
Multisystem inflammatory syndrome in adults,49
Lymphocyte count decreased,49
Heart injury,49
Insulin resistance syndrome,49
Injury corneal,49
Postpartum sepsis,49
Histamine intolerance,49
Eye movement disorder,49
Anxiety disorder due to a general medical condition,49
Urinary tract discomfort,49
Adrenal suppression,49
Congenital toxoplasmosis,49
Communication disorder,49
Defiant behaviour,49
Cutaneous sporotrichosis,49
Oesophageal atresia,49
Oxygen saturation abnormal,49
Vaginal pessary insertion,49
Adenoidal hypertrophy,49
Cystic fibrosis hepatic disease,49
Ear inflammation,49
Endocarditis noninfective,49
Cor pulmonale acute,49
Activated partial thromboplastin time prolonged,49
Wrist surgery,49
Autoimmune thyroid disorder,49
Thrombotic stroke,49
Drug level therapeutic,49
Varicose vein operation,49
Monoclonal antibody chemoimmunoconjugate therapy,49
Psychomotor skills impaired,49
Disturbance in sexual arousal,49
Intestinal operation,49
Conjunctival scar,49
Angiotensin converting enzyme,49
DNA mismatch repair protein gene mutation,49
Tracheomalacia,48
Pharyngeal erythema,48
Stoma complication,48
Genital infection fungal,48
Immune-mediated myasthenia gravis,48
Autoimmune heparin-induced thrombocytopenia,48
Endocarditis Q fever,48
Calcineurin inhibitor induced pain syndrome,48
Pleural disorder,48
Joint tuberculosis,48
Silicosis,48
Middle ear inflammation,48
Primary hyperthyroidism,48
Drug exposure in utero,48
Ketoacidosis,48
Peripheral artery stenosis,48
21-hydroxylase deficiency,48
Transposition of the great vessels,48
Toe amputation,48
Pneumocystis jiroveci pneumonia,48
Laryngeal pain,48
Scleroderma overlap syndrome,48
Sickle cell trait,48
Derealisation,48
Arthroscopic surgery,48
Pharyngeal ulceration,48
Amylase increased,48
Face injury,48
Infected fistula,48
Thalassaemia minor,48
Sexual activity increased,48
Impaired fasting glucose,48
Radiation associated pain,48
Procedural hypertension,48
Orofacial granulomatosis,48
Presenile dementia,48
Infective scleritis,48
Glaucoma drug therapy,48
Graft thrombosis,48
Spider vein,48
Senile psychosis,48
Eye infection viral,48
Intestinal stenosis,48
Diaphragmatic disorder,48
Endometrial thickening,48
Product prescribing issue,48
Antithrombin III decreased,48
Maternal-foetal therapy,48
Gastroenteritis norovirus,47
X-linked chromosomal disorder,47
Carpal tunnel decompression,47
Li-Fraumeni syndrome,47
Foreign body in eye,47
Vascular headache,47
Physical fitness training,47
Physical examination,47
Cervicitis,47
Weight gain poor,47
Venomous bite,47
Iodine allergy,47
Corynebacterium bacteraemia,47
Small intestinal haemorrhage,47
Hypoglossal nerve paralysis,47
Herpes zoster reactivation,47
Epidermal naevus,47
Coagulation test abnormal,47
Hypermagnesaemia,47
Blood cortisol,47
Acute lung injury,47
Pulse absent,47
Hypoaldosteronism,47
Osteotomy,47
Vocal cord dysfunction,47
CELLULITIS,47
Breast scan,47
Appendiceal abscess,47
Prophylaxis against motion sickness,47
Arterial bypass operation,47
CSF pressure increased,47
Positive cardiac inotropic effect,47
Phelan-McDermid syndrome,47
Cytomegalovirus gastritis,47
Analgesic drug level,47
Wound necrosis,47
Nocturnal dyspnoea,47
Enzyme induction,47
Hypothyroidic goitre,47
Cellulitis streptococcal,47
Chronic rhinosinusitis without nasal polyps,47
Pneumatosis intestinalis,47
Male orgasmic disorder,47
"Sleep disorder due to general medical condition, insomnia type",47
Blood zinc decreased,47
Ligament operation,47
Parkinsonian crisis,46
Body mass index abnormal,46
Blunted affect,46
Spinal cord oedema,46
Myocardial infarct prophylaxis,46
Exercise tolerance decreased,46
Breath sounds abnormal,46
Cholangitis infective,46
Prostate ablation,46
Foetal cardiac disorder,46
Brain stem haemorrhage,46
Orchitis noninfective,46
CANDLE syndrome,46
Uterine enlargement,46
Ventricular failure,46
Sleep disorder due to a general medical condition,46
Phobia of flying,46
Mucosal pain,46
Scrotal infection,46
Brugada syndrome,46
Eye abscess,46
Atrial septal defect repair,46
Laryngomalacia,46
Muscle tone disorder,46
Insulin-like growth factor abnormal,46
Psychosomatic disease,46
Congenital dysfibrinogenaemia,46
Severe mental retardation,46
Cardiac valve replacement complication,46
Bacterial pericarditis,46
Muscle necrosis,46
Limb crushing injury,46
Miosis,46
Nerve damage,46
Cystic fibrosis carrier,46
Blister infected,46
Autoimmune pancytopenia,46
Cytomegalovirus hepatitis,46
Cardiac pseudoaneurysm,46
Transgender operation,46
Brain natriuretic peptide increased,46
Cerebral malaria,46
Chronic inflammatory response syndrome,46
Elderly,46
Mesenteritis,46
LOW BACK PAIN,46
Breast inflammation,45
Inappropriate schedule of product administration,45
Crystalluria,45
Medical anabolic therapy,45
Small intestine ulcer,45
Holoprosencephaly,45
Reperfusion injury,45
Application site anaesthesia,45
Follicular disorder,45
Hypoxanthine-guanine phosphoribosyl transferase deficiency,45
Cerebrovascular insufficiency,45
IMMUNOSUPPRESSANT DRUG THERAPY,45
Neural tube defect,45
Aphonia,45
Human herpesvirus 8 infection,45
Exposure to body fluid,45
Pulmonary histoplasmosis,45
Tongue disorder,45
Influenza virus test positive,45
Blood urea increased,45
Chronic kidney disease-associated pruritus,45
No adverse event,45
Dilatation ventricular,45
Meningitis herpes,45
Skin hypertrophy,45
Drug effect decreased,45
PCDH19 gene-related epilepsy,45
Dysentery,45
Selective eating disorder,45
Herpes simplex meningitis,45
Iris adhesions,45
Medical device site thrombosis,45
Enterocolitis viral,45
Oral dysaesthesia,45
Neonatal pneumonia,45
Skin induration,45
Ileal stenosis,45
Rhinitis seasonal,45
Human herpesvirus 7 infection,45
Encephalitis Japanese B,45
Hyperadrenalism,45
Plastic surgery,45
Thyroid atrophy,45
Magnetic resonance imaging hepatobiliary,45
Salmonella test positive,45
Glomerular filtration rate decreased,45
Oral bacterial infection,45
Cerebral hypoperfusion,45
Hepatic cyst infection,45
Eosinophilic bronchitis,44
GLAUCOMA,44
Urethritis chlamydial,44
Shwachman-Diamond syndrome,44
Chorea-acanthocytosis,44
Biopsy kidney,44
Blood prolactin decreased,44
Gastric perforation,44
Diabetic wound,44
Idiopathic neutropenia,44
Biopsy breast,44
Pyruvate carboxylase deficiency,44
Poikiloderma,44
Faecal calprotectin,44
Acinetobacter sepsis,44
Pericardial effusion malignant,44
Spondylitic myelopathy,44
Injection site infection,44
Persistent corneal epithelial defect,44
Oesophageal discomfort,44
Pelvic floor muscle weakness,44
Single umbilical artery,44
Flat affect,44
Granulomatous rosacea,44
Antasthmatic drug level,44
Illness anxiety disorder,44
Suspiciousness,44
Lipoprotein metabolism disorder,44
Fungal abscess central nervous system,44
Genital candidiasis,44
Rectal tenesmus,44
Glucose-6-phosphate dehydrogenase deficiency,44
Excessive gingival display,44
OSTEOPOROTIC FRACTURE,44
Clostridial sepsis,44
Congenital dyskeratosis,44
Onychalgia,44
Apnoeic attack,44
Phlebitis superficial,44
Drop attacks,44
Vena cava filter insertion,44
Open fracture,44
Eyelids pruritus,44
Faciobrachial dystonic seizure,44
Aortic disorder,44
Mitochondrial cytopathy,44
Culture urine positive,44
GM2 gangliosidosis,44
Baltic myoclonic epilepsy,43
Community acquired infection,43
Atypical benign partial epilepsy,43
Latent syphilis,43
Burkholderia infection,43
Medical induction of coma,43
Hypothalamic pituitary adrenal axis suppression,43
Mallory-Weiss syndrome,43
Factor X deficiency,43
Renal osteodystrophy,43
Artificial heart implant,43
Pelvic floor dysfunction,43
Blood antidiuretic hormone,43
Foetal therapeutic procedure,43
Disseminated strongyloidiasis,43
Fasting,43
SINUS INFECTION,43
CROHN'S DISEASE,43
C1q nephropathy,43
Colectomy total,43
Pelvic mass,43
Red blood cell count,43
Haemoglobinopathy,43
Thalamic infarction,43
Tearfulness,43
Menstruation normal,43
Congenital infection,43
Arteriovenous fistula thrombosis,43
Ebola disease,43
Bacillus bacteraemia,43
Alcoholic hangover,43
Bone marrow oedema,43
Pulmonary function challenge test,43
Lithotripsy,43
Bone operation,43
CD4 lymphocytes decreased,43
Abnormal weight gain,43
Neutropenic infection,43
Hepatic artery stenosis,43
Oesophageal injury,43
Gastrointestinal disorder congenital,43
Taeniasis,43
Hereditary spastic paraplegia,43
Colon injury,43
Cholera,43
Pancreatic pseudocyst,43
Gastrointestinal procedural complication,43
Cardiac resynchronisation therapy,43
Ocular icterus,43
Pseudomonas bronchitis,43
Superficial siderosis of central nervous system,43
Feeling drunk,42
Factor II mutation,42
Retinal exudates,42
Cystic fibrosis respiratory infection suppression,42
Metabolic abnormality management,42
Gingival recession,42
Congenital arterial malformation,42
Purulent pericarditis,42
Spinal cord abscess,42
Hypochloraemia,42
Congenital multiplex arthrogryposis,42
Cavernous sinus thrombosis,42
Iris neovascularisation,42
Oligohydramnios,42
Mycosis fungoides stage IV,42
Urinary tract candidiasis,42
Bile duct stenosis,42
Enterococcus test positive,42
Rhinitis prophylaxis,42
Presumed ocular histoplasmosis syndrome,42
Adenoiditis,42
Hepatic infection,42
Arterial insufficiency,42
Nasal ulcer,42
Gonadotrophin deficiency,42
Peritoneal cloudy effluent,42
Sydenham's chorea,42
Tobacco withdrawal symptoms,42
West Nile viral infection,42
Diencephalic syndrome,42
Perforation,42
Fibrocystic breast disease,42
Hypopnoea,42
Gastric ulcer perforation,42
Gastric adenoma,42
Postoperative wound complication,42
MAJOR DEPRESSION,42
Dehydroepiandrosterone decreased,42
Transurethral bladder resection,42
Application site pain,42
Fascioliasis,42
NTRK gene fusion positive,42
Blood corticotrophin,42
Intestinal atony,42
Tooth loss,42
Congenital pulmonary valve atresia,42
Eye infection staphylococcal,42
Citrobacter sepsis,41
Fracture treatment,41
Acute haemorrhagic ulcerative colitis,41
Mesotherapy,41
Gastric mucosal hypertrophy,41
Nasal turbinate hypertrophy,41
Cyst removal,41
PFAPA syndrome,41
Joint ankylosis,41
Antinuclear antibody,41
Pulmonary amyloidosis,41
Juvenile xanthogranuloma,41
Septic arthritis streptococcal,41
Behaviour disorder due to a general medical condition,41
Epiretinal membrane,41
Post procedural oedema,41
CD30 expression,41
Injection site inflammation,41
Klebsiella urinary tract infection,41
Smith-Lemli-Opitz syndrome,41
Extremity contracture,41
Adnexa uteri pain,41
Anaesthetic ophthalmic procedure,41
Homeopathy,41
Meningitis haemophilus,41
Eyelid irritation,41
Trabeculectomy,41
HIV viraemia,41
Lupus encephalitis,41
PATENT DUCTUS ARTERIOSUS,41
Transfusion related complication,41
Soliloquy,41
Congenital thrombotic thrombocytopenic purpura,41
Vascular device occlusion,41
Heavy exposure to ultraviolet light,41
Confluent and reticulate papillomatosis,41
Gas gangrene,41
Therapeutic response decreased,41
Polymedication,41
Iris transillumination defect,41
Escherichia peritonitis,41
Cerebral small vessel ischaemic disease,41
Gastrointestinal injury,41
Physical assault,41
Extremity necrosis,41
Patellofemoral pain syndrome,41
Lung cyst,41
Hypophysectomy,41
Multi-organ disorder,41
Vascular access complication,41
Adjustment disorder with disturbance of conduct,41
Platelet aggregation test,41
Emphysematous cystitis,41
Intra-abdominal haemorrhage,41
Retinal vascular thrombosis,41
Paroxysmal arrhythmia,41
General body pain,40
Exposure to SARS-CoV-2,40
Packed red blood cell transfusion,40
Bone contusion,40
Interleukin therapy,40
Protein total decreased,40
Cervical dilatation,40
Vertebral artery stenosis,40
Basilar artery thrombosis,40
Alzheimer's disease,40
Purtscher retinopathy,40
Glomerulonephritis acute,40
Single functional kidney,40
N-acetylglutamate synthase deficiency,40
Fistulogram,40
Pustulotic arthro-osteitis,40
Wound secretion,40
Herpes zoster meningitis,40
Thyroid pain,40
Progesterone,40
Psittacosis,40
Severe fever with thrombocytopenia syndrome,40
Post cholecystectomy syndrome,40
Exposure to mould,40
Hepatitis B surface antigen positive,40
Sensory processing disorder,40
Blood fibrinogen decreased,40
Testicular swelling,40
Subclavian artery stenosis,40
Meningitis neonatal,40
Vascular calcification,40
Blood insulin decreased,40
Human papilloma virus immunisation,40
Secondary syphilis,40
Cystitis ulcerative,40
Neutrophilic panniculitis,40
Visceral venous thrombosis,40
HYPOTHYROIDISM,40
Lipoprotein increased,40
Glycosuria,40
Feeling of despair,40
Morton's neuralgia,40
Blood electrolytes decreased,39
Nerve root injury,39
Raoultella ornithinolytica infection,39
Endothelial dysfunction,39
Breakthrough COVID-19,39
Atypical mycobacterium test positive,39
Infection protozoal,39
Catheterisation venous,39
Hyperglobulinaemia,39
Enzyme level abnormal,39
Cardiac function test,39
Cystic lung disease,39
Artificial insemination,39
Carditis,39
Sick sinus syndrome,39
POSTOPERATIVE CARE,39
Postpartum disorder,39
Nikolsky's sign,39
Orbital granuloma,39
Herpes simplex reactivation,39
Tractional retinal detachment,39
Uterine infection,39
Chronic pigmented purpura,39
Sinus arrest,39
Breath holding,39
CD4 lymphocytes abnormal,39
Limb deformity,39
Ear infection bacterial,39
Arthritis fungal,39
Dihydropyrimidine dehydrogenase deficiency,39
Electric shock,39
Congenital thrombocyte disorder,39
Hepatectomy,39
Gastrointestinal mucormycosis,39
Pubis fracture,39
Leukaemic infiltration extramedullary,39
Urate nephropathy,39
Hemiconvulsion-hemiplegia-epilepsy syndrome,39
Panic disorder with agoraphobia,39
Abdominoplasty,39
Immune-mediated pancreatitis,39
Renal hamartoma,39
Vesicoureteric reflux,39
Meningitis Escherichia,39
Postpartum anxiety,39
Pertussis immunisation,39
Liver scan,39
Transverse sinus thrombosis,39
Excessive dietary supplement intake,39
Coagulation factor IX level,39
Staphylococcus test,39
Spinal cord herniation,39
Convulsions,39
Brain herniation,39
Bacterial abdominal infection,39
Basilar artery aneurysm,39
Joint range of motion decreased,39
Oral mucosal eruption,39
Salivary gland disorder,39
Lupus vulgaris,39
Primary pulmonary hypertension,39
Congenital syphilis,39
Rebound effect,39
Lip blister,39
Pyogenic sterile arthritis pyoderma gangrenosum and acne syndrome,39
Acute cutaneous lupus erythematosus,39
Macular cyst,38
Pulmonary hypertensive crisis,38
Dyspnoea at rest,38
Hydrotherapy,38
SARS-CoV-2 antibody test positive,38
Sarcopenia,38
Vocal cord paralysis,38
Neurocryptococcosis,38
Acute polyneuropathy,38
Factor V inhibition,38
Vitreous opacities,38
Uterine pain,38
Rhonchi,38
Deep vein thrombosis postoperative,38
Onychomadesis,38
Polyneuropathy chronic,38
Pilonidal disease,38
Viral myelitis,38
Atypical mycobacterial lymphadenitis,38
Frustration tolerance decreased,38
Tuberculoma,38
Contrast echocardiogram,38
Solar dermatitis,38
Failed back surgery syndrome,38
Brain hypoxia,38
Scan thyroid gland,38
Increased intraocular pressure,38
DRY EYES,38
Nail growth abnormal,38
Forced expiratory volume decreased,38
Ranula,38
Ear swelling,38
Congenital myopathy,38
Hepatitis infectious,38
Vascular graft occlusion,38
Organ preservation,38
Testicular seminoma (pure) stage III,38
Congenital hypoparathyroidism,38
Product dose omission issue,38
Adenoviral conjunctivitis,38
Haematology test abnormal,38
Brain malformation,38
Anaphylactic transfusion reaction,38
Acute macular neuroretinopathy,38
